"first_name","last_name","city","country","amount","payment_date"
"Linda","Williams","Athenai","Greece","8.99","2007-02-16 00:02:31.996577"
"Linda","Williams","Athenai","Greece","6.99","2007-02-16 13:47:36.996577"
"Linda","Williams","Athenai","Greece","6.99","2007-02-17 03:43:41.996577"
"Linda","Williams","Athenai","Greece","2.99","2007-02-19 07:03:19.996577"
"Linda","Williams","Athenai","Greece","5.99","2007-03-01 12:48:14.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-03-18 13:18:21.996577"
"Linda","Williams","Athenai","Greece","8.99","2007-03-19 20:46:33.996577"
"Linda","Williams","Athenai","Greece","2.99","2007-03-20 04:42:38.996577"
"Linda","Williams","Athenai","Greece","8.99","2007-03-21 19:19:14.996577"
"Linda","Williams","Athenai","Greece","0.99","2007-03-22 08:05:53.996577"
"Linda","Williams","Athenai","Greece","2.99","2007-03-23 05:38:40.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-04-07 08:51:51.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-04-08 11:15:37.996577"
"Linda","Williams","Athenai","Greece","5.99","2007-04-27 03:23:08.996577"
"Linda","Williams","Athenai","Greece","10.99","2007-04-27 18:51:38.996577"
"Linda","Williams","Athenai","Greece","7.99","2007-04-28 02:27:47.996577"
"Linda","Williams","Athenai","Greece","6.99","2007-04-28 03:14:56.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-04-28 10:15:11.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-04-28 16:45:40.996577"
"Linda","Williams","Athenai","Greece","2.99","2007-04-29 09:35:30.996577"
"Linda","Williams","Athenai","Greece","1.99","2007-04-30 11:59:46.996577"
"Linda","Williams","Athenai","Greece","3.99","2007-04-30 20:14:12.996577"
"Linda","Williams","Athenai","Greece","2.99","2007-04-30 01:56:24.996577"
"Linda","Williams","Athenai","Greece","4.99","2007-04-30 10:01:24.996577"
