"customer","staff","date","amount","running_total"
"Mary Smith","Mike Hillyer","2007-02-14","5.99","5.99"
"Catherine Campbell","Mike Hillyer","2007-02-14","4.99","10.98"
"Joyce Edwards","Mike Hillyer","2007-02-14","0.99","11.97"
"Paula Bryant","Jon Stephens","2007-02-14","2.99","14.96"
"Sherry Marshall","Mike Hillyer","2007-02-14","7.99","22.95"
"Amber Dixon","Jon Stephens","2007-02-14","2.99","25.94"
"Audrey Ray","Jon Stephens","2007-02-14","2.99","28.93"
"Holly Fox","Mike Hillyer","2007-02-14","4.99","33.92"
"Jeanette Greene","Jon Stephens","2007-02-14","2.99","36.91"
"Alma Austin","Mike Hillyer","2007-02-14","5.99","42.90"
"Sue Peters","Jon Stephens","2007-02-14","2.99","45.89"
"Ella Oliver","Jon Stephens","2007-02-14","2.99","48.88"
"Minnie Romero","Mike Hillyer","2007-02-14","4.99","53.87"
"Viola Hanson","Jon Stephens","2007-02-14","6.99","60.86"
"Gwendolyn May","Jon Stephens","2007-02-14","3.99","64.85"
"Harry Arce","Mike Hillyer","2007-02-14","0.99","65.84"
"Wayne Truong","Jon Stephens","2007-02-14","6.99","72.83"
"Luis Yanez","Jon Stephens","2007-02-14","4.99","77.82"
"Jeffery Pinson","Jon Stephens","2007-02-14","2.99","80.81"
"Edwin Burk","Jon Stephens","2007-02-14","5.99","86.80"
"Herman Devore","Jon Stephens","2007-02-14","2.99","89.79"
"Cecil Vines","Mike Hillyer","2007-02-14","6.99","96.78"
"Elmer Noe","Jon Stephens","2007-02-14","4.99","101.77"
"Kelly Knott","Mike Hillyer","2007-02-14","1.99","103.76"
"Ian Still","Jon Stephens","2007-02-14","2.99","106.75"
"Terrance Roush","Jon Stephens","2007-02-14","6.99","113.74"
"Terrence Gunderson","Jon Stephens","2007-02-14","2.99","116.73"
"Mary Smith","Jon Stephens","2007-02-15","0.99","10.98"
"Mary Smith","Jon Stephens","2007-02-15","9.99","10.98"
"Barbara Jones","Mike Hillyer","2007-02-15","4.99","15.97"
"Elizabeth Brown","Mike Hillyer","2007-02-15","3.99","19.96"
"Susan Wilson","Jon Stephens","2007-02-15","2.99","22.95"
"Lisa Anderson","Mike Hillyer","2007-02-15","6.99","29.94"
"Betty White","Jon Stephens","2007-02-15","4.99","34.93"
"Carol Garcia","Jon Stephens","2007-02-15","5.99","40.92"
"Deborah Walker","Mike Hillyer","2007-02-15","2.99","48.90"
"Deborah Walker","Mike Hillyer","2007-02-15","4.99","48.90"
"Jessica Hall","Mike Hillyer","2007-02-15","5.99","54.89"
"Shirley Allen","Mike Hillyer","2007-02-15","4.99","64.87"
