"film_id","customer","amount","average_amount","rank"
1,"Joel Francisco","0.99","1.6090476190476190","13248"
1,"Dianne Shelton","3.99","1.6090476190476190","13248"
1,"Gabriel Harder","3.99","1.6090476190476190","13248"
1,"Freddie Duggan","1.99","1.6090476190476190","13248"
1,"Dwayne Olvera","3.99","1.6090476190476190","13248"
1,"Marie Turner","0.99","1.6090476190476190","13248"
1,"Henry Billingsley","0.99","1.6090476190476190","13248"
1,"Mattie Hoffman","0.99","1.6090476190476190","13248"
1,"Geraldine Perkins","0.99","1.6090476190476190","13248"
1,"Darren Windham","0.99","1.6090476190476190","13248"
1,"Hector Poindexter","1.99","1.6090476190476190","13248"
1,"Willie Markham","1.99","1.6090476190476190","13248"
1,"Robert Baughman","0.99","1.6090476190476190","13248"
1,"Carl Artis","0.99","1.6090476190476190","13248"
1,"Susan Wilson","0.99","1.6090476190476190","13248"
1,"Tina Simmons","0.99","1.6090476190476190","13248"
1,"Beatrice Arnold","0.99","1.6090476190476190","13248"
1,"Nathan Runyon","0.99","1.6090476190476190","13248"
1,"Rebecca Scott","0.99","1.6090476190476190","13248"
1,"Virgil Wofford","1.99","1.6090476190476190","13248"
1,"Debra Nelson","0.99","1.6090476190476190","13248"
2,"Penny Neal","4.99","7.5614285714285714","374"
2,"Lucille Holmes","4.99","7.5614285714285714","374"
2,"Kathryn Coleman","9.99","7.5614285714285714","374"
2,"Stacy Cunningham","8.99","7.5614285714285714","374"
2,"Jessie Milam","8.99","7.5614285714285714","374"
2,"Brandon Huey","4.99","7.5614285714285714","374"
2,"Amber Dixon","9.99","7.5614285714285714","374"
3,"Travis Estep","2.99","3.1718181818181818","10107"
3,"Steven Curley","2.99","3.1718181818181818","10107"
3,"Joanne Robertson","2.99","3.1718181818181818","10107"
3,"Stella Moreno","2.99","3.1718181818181818","10107"
3,"Marion Snyder","2.99","3.1718181818181818","10107"
3,"Rose Howard","2.99","3.1718181818181818","10107"
3,"Cassandra Walters","2.99","3.1718181818181818","10107"
3,"Mary Smith","4.99","3.1718181818181818","10107"
3,"Pearl Garza","2.99","3.1718181818181818","10107"
3,"Olga Jimenez","2.99","3.1718181818181818","10107"
3,"Robin Hayes","2.99","3.1718181818181818","10107"
4,"Natalie Meyer","2.99","3.9900000000000000","7244"
4,"Ruben Geary","2.99","3.9900000000000000","7244"
4,"Jimmy Schrader","2.99","3.9900000000000000","7244"
4,"Tommy Collazo","2.99","3.9900000000000000","7244"
4,"Carmen Owens","2.99","3.9900000000000000","7244"
4,"Wallace Slone","4.99","3.9900000000000000","7244"
4,"Jeff East","4.99","3.9900000000000000","7244"
4,"Carmen Owens","6.99","3.9900000000000000","7244"
4,"Vivian Ruiz","2.99","3.9900000000000000","7244"
4,"Oscar Aquino","2.99","3.9900000000000000","7244"
4,"Janice Ward","5.99","3.9900000000000000","7244"
4,"Megan Palmer","2.99","3.9900000000000000","7244"
4,"Sue Peters","2.99","3.9900000000000000","7244"
4,"Jerome Kenyon","2.99","3.9900000000000000","7244"
4,"Jordan Archuleta","6.99","3.9900000000000000","7244"
4,"Eleanor Hunt","3.99","3.9900000000000000","7244"
4,"Nina Soto","2.99","3.9900000000000000","7244"
4,"Kimberly Lee","2.99","3.9900000000000000","7244"
4,"Beverly Brooks","4.99","3.9900000000000000","7244"
4,"Michael Silverman","2.99","3.9900000000000000","7244"
4,"Minnie Romero","5.99","3.9900000000000000","7244"
5,"Curtis Irby","4.99","4.3536363636363636","6490"
5,"Joyce Edwards","4.99","4.3536363636363636","6490"
5,"Casey Mena","2.99","4.3536363636363636","6490"
5,"Barry Lovelace","4.99","4.3536363636363636","6490"
5,"Nora Herrera","5.99","4.3536363636363636","6490"
5,"Joshua Mark","3.99","4.3536363636363636","6490"
5,"Ricardo Meador","3.99","4.3536363636363636","6490"
5,"Amy Lopez","2.99","4.3536363636363636","6490"
5,"Gilbert Sledge","4.99","4.3536363636363636","6490"
5,"Seth Hannon","2.99","4.3536363636363636","6490"
5,"Elaine Stevens","4.99","4.3536363636363636","6490"
6,"Leslie Seward","7.99","5.8847368421052632","3119"
6,"Kristin Johnston","4.99","5.8847368421052632","3119"
6,"Martha Gonzalez","4.99","5.8847368421052632","3119"
6,"Elizabeth Brown","2.99","5.8847368421052632","3119"
6,"Betty White","6.99","5.8847368421052632","3119"
6,"Tracy Cole","4.99","5.8847368421052632","3119"
6,"Rosemary Schmidt","7.99","5.8847368421052632","3119"
6,"Diane Collins","7.99","5.8847368421052632","3119"
6,"Ida Andrews","3.99","5.8847368421052632","3119"
6,"Catherine Campbell","8.99","5.8847368421052632","3119"
6,"Janet Phillips","3.99","5.8847368421052632","3119"
6,"Gina Williamson","6.99","5.8847368421052632","3119"
6,"Alan Kahn","3.99","5.8847368421052632","3119"
6,"Clinton Buford","4.99","5.8847368421052632","3119"
6,"Cory Meehan","6.99","5.8847368421052632","3119"
6,"Tonya Chapman","8.99","5.8847368421052632","3119"
6,"Terry Grissom","5.99","5.8847368421052632","3119"
6,"Anthony Schwab","4.99","5.8847368421052632","3119"
6,"Perry Swafford","2.99","5.8847368421052632","3119"
7,"Vivian Ruiz","4.99","5.5233333333333333","4189"
7,"Jamie Waugh","4.99","5.5233333333333333","4189"
7,"Daniel Cabral","4.99","5.5233333333333333","4189"
7,"Wanda Patterson","4.99","5.5233333333333333","4189"
7,"Jesse Schilling","4.99","5.5233333333333333","4189"
7,"Fred Wheat","4.99","5.5233333333333333","4189"
7,"Craig Morrell","7.99","5.5233333333333333","4189"
7,"Carla Gutierrez","4.99","5.5233333333333333","4189"
7,"Priscilla Lowe","5.99","5.5233333333333333","4189"
7,"Phyllis Foster","4.99","5.5233333333333333","4189"
7,"Frederick Isbell","4.99","5.5233333333333333","4189"
7,"Michele Grant","4.99","5.5233333333333333","4189"
7,"Teresa Rogers","4.99","5.5233333333333333","4189"
7,"Andrea Henderson","5.99","5.5233333333333333","4189"
7,"Dean Sauer","7.99","5.5233333333333333","4189"
8,"Debbie Reyes","4.99","5.7900000000000000","3406"
8,"Ruben Geary","6.99","5.7900000000000000","3406"
8,"William Satterfield","4.99","5.7900000000000000","3406"
8,"Clara Shaw","5.99","5.7900000000000000","3406"
8,"Duane Tubbs","5.99","5.7900000000000000","3406"
8,"Nina Soto","4.99","5.7900000000000000","3406"
8,"Stephen Qualls","4.99","5.7900000000000000","3406"
8,"Albert Crouse","5.99","5.7900000000000000","3406"
8,"Diana Alexander","4.99","5.7900000000000000","3406"
8,"Evelyn Morgan","4.99","5.7900000000000000","3406"
8,"Miguel Betancourt","5.99","5.7900000000000000","3406"
8,"Carole Barnett","5.99","5.7900000000000000","3406"
8,"Francis Sikes","4.99","5.7900000000000000","3406"
8,"Patsy Davidson","6.99","5.7900000000000000","3406"
8,"Lynn Payne","7.99","5.7900000000000000","3406"
9,"Veronica Stone","5.99","5.9900000000000000","2644"
9,"Edgar Rhoads","2.99","5.9900000000000000","2644"
9,"Rick Mattox","2.99","5.9900000000000000","2644"
9,"Franklin Troutman","5.99","5.9900000000000000","2644"
9,"Tammy Sanders","4.99","5.9900000000000000","2644"
9,"Miriam Mckinney","8.99","5.9900000000000000","2644"
9,"Richard Mccrary","8.99","5.9900000000000000","2644"
9,"Steve Mackenzie","8.99","5.9900000000000000","2644"
9,"Kurt Emmons","4.99","5.9900000000000000","2644"
9,"Kristin Johnston","2.99","5.9900000000000000","2644"
9,"Maureen Little","5.99","5.9900000000000000","2644"
9,"Darrell Power","7.99","5.9900000000000000","2644"
10,"Gordon Allard","4.99","5.7291304347826087","3569"
10,"Carol Garcia","4.99","5.7291304347826087","3569"
10,"Jennie Terry","4.99","5.7291304347826087","3569"
10,"Doris Reed","6.99","5.7291304347826087","3569"
10,"Dan Paine","5.99","5.7291304347826087","3569"
10,"Rodney Moeller","4.99","5.7291304347826087","3569"
10,"Velma Lucas","4.99","5.7291304347826087","3569"
10,"Stella Moreno","4.99","5.7291304347826087","3569"
10,"Bruce Schwarz","4.99","5.7291304347826087","3569"
10,"Mathew Bolin","7.99","5.7291304347826087","3569"
10,"Sylvia Ortiz","4.99","5.7291304347826087","3569"
10,"Dorothy Taylor","4.99","5.7291304347826087","3569"
10,"Phyllis Foster","4.99","5.7291304347826087","3569"
10,"Katie Elliott","4.99","5.7291304347826087","3569"
10,"Clarence Gamez","7.99","5.7291304347826087","3569"
10,"Adam Gooch","6.99","5.7291304347826087","3569"
10,"Sam Mcduffie","7.99","5.7291304347826087","3569"
10,"Herman Devore","4.99","5.7291304347826087","3569"
10,"Julia Flores","4.99","5.7291304347826087","3569"
10,"Ivan Cromwell","4.99","5.7291304347826087","3569"
10,"Lena Jensen","4.99","5.7291304347826087","3569"
10,"Samuel Marlow","4.99","5.7291304347826087","3569"
10,"Wayne Truong","7.99","5.7291304347826087","3569"
11,"Barbara Jones","0.99","1.3990909090909091","13823"
11,"Victoria Gibson","0.99","1.3990909090909091","13823"
11,"Marvin Yee","0.99","1.3990909090909091","13823"
11,"Ruby Washington","0.99","1.3990909090909091","13823"
11,"Kim Cruz","1.99","1.3990909090909091","13823"
11,"Jessie Banks","1.99","1.3990909090909091","13823"
11,"Denise Kelly","0.99","1.3990909090909091","13823"
11,"Grace Ellis","0.99","1.3990909090909091","13823"
11,"Viola Hanson","0.99","1.3990909090909091","13823"
11,"Dustin Gillette","0.99","1.3990909090909091","13823"
11,"Lee Hawks","3.99","1.3990909090909091","13823"
11,"Allan Cornish","1.99","1.3990909090909091","13823"
11,"Tracey Barrett","0.99","1.3990909090909091","13823"
11,"Regina Berry","1.99","1.3990909090909091","13823"
11,"Jack Foust","0.99","1.3990909090909091","13823"
11,"Gloria Cook","1.99","1.3990909090909091","13823"
11,"Viola Hanson","0.99","1.3990909090909091","13823"
11,"Lillie Kim","0.99","1.3990909090909091","13823"
11,"Ted Breaux","1.99","1.3990909090909091","13823"
11,"Kenneth Gooden","0.99","1.3990909090909091","13823"
11,"Louis Leone","0.99","1.3990909090909091","13823"
11,"Marilyn Ross","0.99","1.3990909090909091","13823"
12,"Jamie Rice","1.99","1.6421739130434783","13149"
12,"Christina Ramirez","0.99","1.6421739130434783","13149"
12,"Jorge Olivares","1.99","1.6421739130434783","13149"
12,"Diane Collins","0.99","1.6421739130434783","13149"
12,"Elizabeth Brown","0.99","1.6421739130434783","13149"
12,"Kelly Torres","1.99","1.6421739130434783","13149"
12,"Byron Box","0.99","1.6421739130434783","13149"
12,"Melinda Fernandez","0.99","1.6421739130434783","13149"
12,"Marian Mendoza","0.99","1.6421739130434783","13149"
12,"Johnny Turpin","0.99","1.6421739130434783","13149"
12,"Amber Dixon","0.99","1.6421739130434783","13149"
